genus,number of taxonomies,proportions,,tn num count,num genera,Prop 1,Prop 2,Prop 3,Prop 4,Prop 5,Prop 6,Prop 7,Prop 8
Gasteruption,0,,,0,212,,,,,,,,
Palaeictops,0,,,1,666,1,,,,,,,
Oligopithecidae,0,,,2,501,0.8209490554,0.1790509446,,,,,,
Hemiaster,0,,,3,272,0.7339217866,0.2010466089,0.0650316044,,,,,
Aphredoderus,0,,,4,80,0.6952040083,0.192138586,0.0817490629,0.0309083427,,,,
Epilobium,0,,,5,35,0.6043378214,0.2125324799,0.1014568085,0.0556126,0.0260602902,,,
Aulonocara ,0,,,6,7,0.6261426181,0.2599872208,0.052202656,0.0324734917,0.0182625119,0.0109315015,,
Anthracobunidae,0,,,7,3,0.6936617232,0.1757297552,0.068220339,0.0285899247,0.0168530289,0.0084726146,0.0084726146,
Paleopropithecus,0,,,,,,,,,,,,
Metriaclima,0,,,,,,,,,,,,
Capensibufo,0,,,,,,,,,,,,
Metoldobotes,0,,,,,,,,,,,,
Coniopteryx,0,,,,,,,,,,,,
Eosimiidae,0,,,,,,,,,,,,
Adapidae,0,,,,,,,,,,,,
Rhoptropus ,0,,,,,,,,,,,,
Ramadapis,0,,,,,,,,,,,,
Pethia,0,,,,,,,,,,,,
Baltorussus ,0,,,,,,,,,,,,
Limbodessus,0,,,,,,,,,,,,
Troglichthys,0,,,,,,,,,,,,
Eoticus,0,,,,,,,,,,,,
Sapajus,0,,,,,,,,,,,,
Victoriapithecus,0,,,,,,,,,,,,
Sapyga,0,,,,,,,,,,,,
Chorisochismus,0,,,,,,,,,,,,
Arkansaurus ,0,,,,,,,,,,,,
Propliopithecid,0,,,,,,,,,,,,
Mohanamico,0,,,,,,,,,,,,
Picoides,0,,,,,,,,,,,,
Tornatellaria,0,,,,,,,,,,,,
Dendropithecidae,0,,,,,,,,,,,,
Indet.,0,,,,,,,,,,,,
Coluber,0,,,,,,,,,,,,
Nyctereutes,0,,,,,,,,,,,,
"""Palaeichthon""",0,,,,,,,,,,,,
TempNewGenus,0,,,,,,,,,,,,
Triportheus 'Anostomus',0,,,,,,,,,,,,
Eosimias,0,,,,,,,,,,,,
Pelophryne,0,,,,,,,,,,,,
Hypodactylus,0,,,,,,,,,,,,
Mondelphis,0,,,,,,,,,,,,
Batrachoides,0,,,,,,,,,,,,
cf Dendropithecus,0,,,,,,,,,,,,
Tregomys,0,,,,,,,,,,,,
?Masrasector,0,,,,,,,,,,,,
Pelycodus,0,,,,,,,,,,,,
Castor,0,,,,,,,,,,,,
Evaniella,0,,,,,,,,,,,,
Cadurcotherium,0,,,,,,,,,,,,
Mabuya,0,,,,,,,,,,,,
Chilorhinophis,0,,,,,,,,,,,,
Aframonius,0,,,,,,,,,,,,
Chelonodon,0,,,,,,,,,,,,
Phytosauria,0,,,,,,,,,,,,
Mola,0,,,,,,,,,,,,
Suidae,0,,,,,,,,,,,,
Rhotropus,0,,,,,,,,,,,,
Diadaphorus,0,,,,,,,,,,,,
Seychellophryne,0,,,,,,,,,,,,
Omomyidae,0,,,,,,,,,,,,
Avitoplectus,0,,,,,,,,,,,,
Rangwapithecus,0,,,,,,,,,,,,
Cypinella,0,,,,,,,,,,,,
?Brychotherium,0,,,,,,,,,,,,
Anthracobunid,0,,,,,,,,,,,,
Pteronotropis,0,,,,,,,,,,,,
Anisodon,0,,,,,,,,,,,,
Hyopachus,0,,,,,,,,,,,,
Tamias,0,,,,,,,,,,,,
Genus-new,0,,,,,,,,,,,,
Pinna,0,,,,,,,,,,,,
Indeterminate,0,,,,,,,,,,,,
Incertae,0,,,,,,,,,,,,
Dinopithesus,0,,,,,,,,,,,,
Prohylobates,0,,,,,,,,,,,,
Daimonelix,0,,,,,,,,,,,,
Epipliopithecus,0,,,,,,,,,,,,
Loxopholis ,0,,,,,,,,,,,,
Viracarpon,0,,,,,,,,,,,,
Hominini,0,,,,,,,,,,,,
Antipodocottus,0,,,,,,,,,,,,
Eupolybothrus,0,,,,,,,,,,,,
Ondatra,0,,,,,,,,,,,,
Gomphotherium,0,,,,,,,,,,,,
Anomaloglossus,0,,,,,,,,,,,,
Pakakali ,0,,,,,,,,,,,,
Dugongidae,0,,,,,,,,,,,,
Therapithecus,0,,,,,,,,,,,,
Nabotherium,0,,,,,,,,,,,,
Sigmodon,0,,,,,,,,,,,,
Ibalia,0,,,,,,,,,,,,
Dichotomyctere,0,,,,,,,,,,,,
?Dilambdogale,0,,,,,,,,,,,,
Pahelia,0,,,,,,,,,,,,
cf Asiadapis,0,,,,,,,,,,,,
Cercopithicoides,0,,,,,,,,,,,,
Antillothrix,0,,,,,,,,,,,,
Centrochelys,0,,,,,,,,,,,,
 ,0,,,,,,,,,,,,
Tarsier,0,,,,,,,,,,,,
Stenorrhina,0,,,,,,,,,,,,
Qarmoutus,0,,,,,,,,,,,,
Sphaerotholus ,0,,,,,,,,,,,,
Ictiobus,0,,,,,,,,,,,,
Parapithecidae,0,,,,,,,,,,,,
Myrmoteras,0,,,,,,,,,,,,
Euglossa ,0,,,,,,,,,,,,
Serrania,0,,,,,,,,,,,,
Babakotia,0,,,,,,,,,,,,
Tometes,0,,,,,,,,,,,,
Phrynomantis,0,,,,,,,,,,,,
Hispanotherium,0,,,,,,,,,,,,
Siffrhippus,0,,,,,,,,,,,,
Osteopilus,0,,,,,,,,,,,,
Charax,0,,,,,,,,,,,,
Propotto,0,,,,,,,,,,,,
Notemigonus,0,,,,,,,,,,,,
Lythurus,0,,,,,,,,,,,,
Archaeoindris,0,,,,,,,,,,,,
Sauropodomorpha,0,,,,,,,,,,,,
Smilosuchus,0,,,,,,,,,,,,
Pallasina,0,,,,,,,,,,,,
Arctotherium,0,,,,,,,,,,,,
Elaphas,0,,,,,,,,,,,,
Mastecembelus,0,,,,,,,,,,,,
Pristaulacus,0,,,,,,,,,,,,
Parapithecoidea,0,,,,,,,,,,,,
Tamasciurus ,0,,,,,,,,,,,,
Brachycheirotherium,0,,,,,,,,,,,,
Tapirus (Acrocodia),0,,,,,,,,,,,,
Cyprinella ,0,,,,,,,,,,,,
Zaltanpithecus,0,,,,,,,,,,,,
cf. Pronothodectes,0,,,,,,,,,,,,
[not referred],0,,,,,,,,,,,,
Coeodonta,0,,,,,,,,,,,,
Anthracotheriidae,0,,,,,,,,,,,,
Henonemus,0,,,,,,,,,,,,
Accipiter,0,,,,,,,,,,,,
Aushimia,0,,,,,,,,,,,,
Nettorhamphos,0,,,,,,,,,,,,
Cachryx,0,,,,,,,,,,,,
cf Rangwapithecus,0,,,,,,,,,,,,
Pachycrocuta,0,,,,,,,,,,,,
Colinus,0,,,,,,,,,,,,
Bos,0,,,,,,,,,,,,
Machairodus,0,,,,,,,,,,,,
Nanorana,0,,,,,,,,,,,,
Diadumene,0,,,,,,,,,,,,
Mesopropithecus,0,,,,,,,,,,,,
Oryzomys,0,,,,,,,,,,,,
Limnopus,0,,,,,,,,,,,,
Toluca,0,,,,,,,,,,,,
Parauchenoglanis,0,,,,,,,,,,,,
Casinycteris,0,,,,,,,,,,,,
Pondaungia,0,,,,,,,,,,,,
Creodont,0,,,,,,,,,,,,
Atelerix,0,,,,,,,,,,,,
?Biretia,0,,,,,,,,,,,,
Wyonycteris,0,,,,,,,,,,,,
Acanthocobitis,0,,,,,,,,,,,,
Nyctitheriidae,0,,,,,,,,,,,,
Tyto,0,,,,,,,,,,,,
Homoloselaps,0,,,,,,,,,,,,
Micropterus,0,,,,,,,,,,,,
Fieldsomys,0,,,,,,,,,,,,
Prosymna ,0,,,,,,,,,,,,
Cercopithecidae,0,,,,,,,,,,,,
Herodotius,0,,,,,,,,,,,,
Orthogonalys,0,,,,,,,,,,,,
Primate,0,,,,,,,,,,,,
Erythrolamprus,0,,,,,,,,,,,,
Erinaceomorpha,0,,,,,,,,,,,,
NewGenus,0,,,,,,,,,,,,
Pison,0,,,,,,,,,,,,
cf. Colpocherus,0,,,,,,,,,,,,
Inoceramus,0,,,,,,,,,,,,
Chamaesaura,0,,,,,,,,,,,,
Aipasiogeton,0,,,,,,,,,,,,
Dendropithecus,0,,,,,,,,,,,,
Mammal,0,,,,,,,,,,,,
Gobiesocidae,0,,,,,,,,,,,,
Pteromys,0,,,,,,,,,,,,
Ceuthomantis,0,,,,,,,,,,,,
"""Trionyx""",0,,,,,,,,,,,,
cf. Birkamys,0,,,,,,,,,,,,
Puffinus,0,,,,,,,,,,,,
Labiobarbus,0,,,,,,,,,,,,
Galagid,0,,,,,,,,,,,,
Cathartes,0,,,,,,,,,,,,
cf. Asiadapis,0,,,,,,,,,,,,
Circus,0,,,,,,,,,,,,
Comorrus,0,,,,,,,,,,,,
Nyticebus,0,,,,,,,,,,,,
cf. Palaeictops,0,,,,,,,,,,,,
Hampala,0,,,,,,,,,,,,
Ekembo,0,,,,,,,,,,,,
Fish,0,,,,,,,,,,,,
Neovison,0,,,,,,,,,,,,
Rodentia,0,,,,,,,,,,,,
Lepadogaster,0,,,,,,,,,,,,
Lorisidae,0,,,,,,,,,,,,
Hyloptes ,0,,,,,,,,,,,,
Duttaphrynus,0,,,,,,,,,,,,
Omomys,0,,,,,,,,,,,,
Primates,0,,,,,,,,,,,,
cf Proconsul,0,,,,,,,,,,,,
Iocrinus,0,,,,,,,,,,,,
cf. Talpavoides,0,,,,,,,,,,,,
Metriaclima ,0,,,,,,,,,,,,
Rhynichthys ,0,,,,,,,,,,,,
Odontobatrachus,0,,,,,,,,,,,,
Arthroleptis,1,1,,,,,,,,,,,
Agoniates,1,1,,,,,,,,,,,
Mormoops,1,1,,,,,,,,,,,
Anchomomys,1,1,,,,,,,,,,,
Dinohippus,1,1,,,,,,,,,,,
Parailurus,1,1,,,,,,,,,,,
Pipa,1,1,,,,,,,,,,,
Ecsenius,1,1,,,,,,,,,,,
Branisella,1,1,,,,,,,,,,,
Xenorhina,1,1,,,,,,,,,,,
Listriodon,1,1,,,,,,,,,,,
Mazzonicebus,1,1,,,,,,,,,,,
Megaerops,1,1,,,,,,,,,,,
Pachytriton,1,1,,,,,,,,,,,
Phoebastria ,1,1,,,,,,,,,,,
Atelopus,1,1,,,,,,,,,,,
Serpenticobitis,1,1,,,,,,,,,,,
Parocnus,1,1,,,,,,,,,,,
Cercopithecoides,1,1,,,,,,,,,,,
Homo,1,1,,,,,,,,,,,
Mammut,1,1,,,,,,,,,,,
Satan,1,1,,,,,,,,,,,
Varanus,1,1,,,,,,,,,,,
Cardioglossa,1,1,,,,,,,,,,,
Paraxerus,1,1,,,,,,,,,,,
Scotophilus,1,1,,,,,,,,,,,
Megaderma,1,1,,,,,,,,,,,
Gonostoma,1,1,,,,,,,,,,,
Leptonycteris,1,1,,,,,,,,,,,
Ectypodus,1,1,,,,,,,,,,,
Masrasector,1,1,,,,,,,,,,,
Nyctinomops,1,1,,,,,,,,,,,
Prognatholiparis,1,1,,,,,,,,,,,
Purgatorius,1,1,,,,,,,,,,,
Axoclinus,1,1,,,,,,,,,,,
Anguilla,1,1,,,,,,,,,,,
Krusatodon,1,1,,,,,,,,,,,
Prosantorhinus,1,1,,,,,,,,,,,
Tiktaalik,1,1,,,,,,,,,,,
Rhinophrynus,1,1,,,,,,,,,,,
Pelagocephalus,1,1,,,,,,,,,,,
Miocochilius,1,1,,,,,,,,,,,
Vulpes,1,1,,,,,,,,,,,
Phaethornis,1,1,,,,,,,,,,,
Buergeria,1,1,,,,,,,,,,,
Acinonyx,1,1,,,,,,,,,,,
Notopterus,1,1,,,,,,,,,,,
Steno,1,1,,,,,,,,,,,
Ursus,1,1,,,,,,,,,,,
Nyctimene,1,1,,,,,,,,,,,
Diplecogaster,1,1,,,,,,,,,,,
Anostomus,1,1,,,,,,,,,,,
Aethalops,1,1,,,,,,,,,,,
Platychoerops,1,1,,,,,,,,,,,
Rhampholeon,1,1,,,,,,,,,,,
Elephas,1,1,,,,,,,,,,,
Paranyctimene,1,1,,,,,,,,,,,
Cynops,1,1,,,,,,,,,,,
Nasua,1,1,,,,,,,,,,,
Lachesis,1,1,,,,,,,,,,,
Vintana,1,1,,,,,,,,,,,
Dermanura,1,1,,,,,,,,,,,
Promops,1,1,,,,,,,,,,,
Equatorius,1,1,,,,,,,,,,,
Ambystoma,1,1,,,,,,,,,,,
Nanonycteris,1,1,,,,,,,,,,,
Thoopterus,1,1,,,,,,,,,,,
Equus (plesippus),1,1,,,,,,,,,,,
Tapirus (Helicotapirus),1,1,,,,,,,,,,,
Vastanomys,1,1,,,,,,,,,,,
Allobates,1,1,,,,,,,,,,,
Trogon,1,1,,,,,,,,,,,
Selasphorus,1,1,,,,,,,,,,,
Indirana,1,1,,,,,,,,,,,
Rhacophorus,1,1,,,,,,,,,,,
Hypsignathus,1,1,,,,,,,,,,,
Hylopetes,1,1,,,,,,,,,,,
Erythrocebus,1,1,,,,,,,,,,,
Vespertilio,1,1,,,,,,,,,,,
Xenopus,1,1,,,,,,,,,,,
Pseudanos,1,1,,,,,,,,,,,
Apteronotus,1,1,,,,,,,,,,,
Takydromus,1,1,,,,,,,,,,,
Forbesichthys,1,1,,,,,,,,,,,
Erethizon,1,1,,,,,,,,,,,
Ameerega,1,1,,,,,,,,,,,
Ischnocnema,1,1,,,,,,,,,,,
Hypsiglena,1,1,,,,,,,,,,,
Neofiber,1,1,,,,,,,,,,,
Leptodactylus,1,1,,,,,,,,,,,
Dryomomys,1,1,,,,,,,,,,,
Natalus,1,1,,,,,,,,,,,
Widanelfarasia,1,1,,,,,,,,,,,
Clinus,1,1,,,,,,,,,,,
Radulinopsis,1,1,,,,,,,,,,,
Podilymbus,1,1,,,,,,,,,,,
Megaptera,1,1,,,,,,,,,,,
Neosaimiri,1,1,,,,,,,,,,,
Cynodon,1,1,,,,,,,,,,,
Tachyeres,1,1,,,,,,,,,,,
Trachops,1,1,,,,,,,,,,,
Moxostoma,1,1,,,,,,,,,,,
Pachycrocuta ,1,1,,,,,,,,,,,
Carpolestes,1,1,,,,,,,,,,,
Telmatosaurus,1,1,,,,,,,,,,,
Phasmatocottus,1,1,,,,,,,,,,,
